loinc_num;long_common_name;component;system;property
934-0;Blood product unit ID [#];Blood product unit ID;Dose;Num
1742-6;Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Alanine aminotransferase;Ser/Plas;CCnc
20565-8;Carbon dioxide, total [Moles/volume] in Blood;Carbon dioxide;Bld;SCnc
1959-6;Bicarbonate [Moles/volume] in Blood;Bicarbonate;Bld;SCnc
18906-8;Ciprofloxacin [Susceptibility];Ciprofloxacin;Isolate;Susc
18865-6;Ampicillin+Sulbactam [Susceptibility];Ampicillin+Sulbactam;Isolate;Susc
13317-3;Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;Staphylococcus aureus.methicillin resistant isolate;XXX;ACnc
882-1;ABO & Rh group [Type] in Blood;ABO+Rh group;Bld;Type
26464-8;Leukocytes [#/volume] in Blood;Leukocytes;Bld;NCnc
1968-7;Bilirubin.direct [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;MCnc
8310-5;Body temperature;Body temperature;^Patient;Temp
30522-7;C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;C reactive protein;Ser/Plas;MCnc
18878-9;Cefazolin [Susceptibility];Cefazolin;Isolate;Susc
1994-3;Calcium.ionized [Moles/volume] in Blood;Calcium.ionized;Bld;SCnc
1975-2;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin;Ser/Plas;MCnc
2093-3;Cholesterol [Mass/volume] in Serum or Plasma;Cholesterol;Ser/Plas;MCnc
10331-7;Rh [Type] in Blood;Rh;Bld;Type
1250-0;Major crossmatch [interpretation];Major crossmatch;Ser/Plas;Imp
18955-5;Nitrofurantoin [Susceptibility];Nitrofurantoin;Isolate;Susc
19000-9;Vancomycin [Susceptibility];Vancomycin;Isolate;Susc
18864-9;Ampicillin [Susceptibility];Ampicillin;Isolate;Susc
890-4;Blood group antibody screen [Presence] in Serum or Plasma;Blood group antibody screen;Ser/Plas;ACnc
14578-9;ABO group [Type] in Blood from Blood product unit;ABO group;Bld^BPU;Type
17861-6;Calcium [Mass/volume] in Serum or Plasma;Calcium;Ser/Plas;MCnc
1759-0;Albumin/Globulin [Mass ratio] in Serum or Plasma;Albumin/Globulin;Ser/Plas;MCrto
2028-9;Carbon dioxide, total [Moles/volume] in Serum or Plasma;Carbon dioxide;Ser/Plas;SCnc
883-9;ABO group [Type] in Blood;ABO group;Bld;Type
23658-8;Other Antibiotic [Susceptibility];Antibiotic XXX;Isolate;Susc
1971-1;Bilirubin.indirect [Mass/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MCnc
